,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,Tarabuco,-19.1667,-64.9167,50.99,76,16,5.79,BO,1618872281
284,Shimoda,34.6667,138.95,57.99,57,0,3.83,JP,1618872281
285,Andenes,69.3143,16.1194,44.6,65,20,11.5,NO,1618872281
286,Formosa do Rio Preto,-11.0483,-45.1931,69.69,93,96,3.42,BR,1618872282
287,Leh,34.1667,77.5833,27.09,42,8,2.46,IN,1618872282
288,Castro,-24.7911,-50.0119,56.41,91,19,3.2,BR,1618872283
289,Soyo,-6.1349,12.3689,77.34,89,100,9.13,AO,1618872283
290,Sovetskiy,61.3614,63.5842,28.72,67,98,10.38,RU,1618872283
291,Malindi,-3.2175,40.1191,76.5,83,100,13.94,KE,1618872284
292,Lodwar,3.1191,35.5973,82.58,55,92,17.52,KE,1618872284
293,Verkhnevilyuysk,63.4453,120.3167,8.58,93,99,2.75,RU,1618872284
294,Dalby,-27.1833,151.2667,57.2,94,0,9.01,AU,1618872285
295,Faya,18.3851,42.4509,60.8,47,0,6.44,SA,1618872285
296,Walvis Bay,-22.9575,14.5053,82.99,43,3,5.01,NA,1618872285
297,Priargunsk,50.3691,119.1012,35.96,15,11,7.38,RU,1618872285
298,Codrington,-38.2667,141.9667,51.69,90,74,17.81,AU,1618872286
299,Lakes Entrance,-37.8811,147.981,60.84,50,37,10.07,AU,1618872286
300,Opuwo,-18.0607,13.84,68.05,38,1,7.2,NA,1618872286
301,Nizwá,22.9333,57.5333,75.42,15,16,3.69,OM,1618872287
302,Camaná,-16.6228,-72.7111,69.08,84,13,6.2,PE,1618872287
303,Guerrero Negro,27.9769,-114.0611,78.78,26,2,16.22,MX,1618872287
304,Fairbanks,64.8378,-147.7164,55.4,40,1,3.44,US,1618872288
305,Puerto Quijarro,-17.7833,-57.7667,81.97,59,95,1.79,BO,1618872288
306,Machaneng,-23.1862,27.4886,61.52,47,0,6.11,BW,1618872289
307,Muisne,0.6,-80.0333,82.4,83,75,9.22,EC,1618872289
308,Dunedin,-45.8742,170.5036,64.0,55,0,8.01,NZ,1618872084
309,Ürümqi,43.801,87.6005,51.8,58,0,6.71,CN,1618872289
310,Farīdpur,23.6,89.8333,80.6,74,75,13.8,BD,1618872290
311,Boden,65.8252,21.6886,30.2,93,48,2.3,SE,1618872290
312,Tabuk,17.4189,121.4443,73.27,86,99,10.42,PH,1618872290
313,Lata,40.1629,-8.3327,60.01,90,10,1.01,PT,1618872290
314,Hualmay,-11.0964,-77.6139,69.22,81,82,10.56,PE,1618872291
315,Pevek,69.7008,170.3133,23.0,79,30,7.76,RU,1618872291
316,Loreto,22.2667,-101.9667,80.83,6,39,25.9,MX,1618872291
317,Fare,-16.7,-151.0167,82.51,72,1,13.33,PF,1618872292
318,Saint-Joseph,-21.3667,55.6167,75.2,94,90,4.61,RE,1618872292
319,Thunder Bay,48.4001,-89.3168,32.0,59,90,14.97,CA,1618872023
320,Yulara,-25.2406,130.9889,48.2,71,0,6.91,AU,1618872292
321,College,64.8569,-147.8028,55.4,30,1,4.61,US,1618872293
322,Erenhot,43.6475,111.9767,47.55,34,19,5.55,CN,1618872293
323,Tuxpan,19.55,-103.4,80.6,32,1,11.5,MX,1618872293
324,Nikolskoye,59.7035,30.7861,39.0,60,0,6.71,RU,1618872294
325,Sunland Park,31.7965,-106.58,72.0,21,20,8.05,US,1618872294
326,Kodinsk,58.6881,99.1844,14.59,91,100,16.75,RU,1618872294
327,Atar,20.5169,-13.0499,80.73,12,3,3.09,MR,1618872295
328,Jiayuguan City,39.8167,98.3,48.83,37,78,2.04,CN,1618872295
329,Hīt,33.6416,42.8251,82.56,19,98,1.23,IQ,1618872295
330,Dwārka,22.2394,68.9678,80.28,78,85,14.94,IN,1618872297
331,Aykhal,66.0,111.5,3.99,99,99,4.54,RU,1618872297
332,São Paulo de Olivença,-3.3783,-68.8725,73.0,98,95,3.44,BR,1618872297
333,Kholm,59.2667,32.85,36.72,68,54,6.15,RU,1618872297
334,Moose Factory,51.2585,-80.6094,24.8,86,90,13.8,CA,1618872298
335,Kuah,6.3265,99.8432,80.6,94,20,2.3,MY,1618872298
336,Alakurtti,66.9672,30.3491,30.0,83,30,1.23,RU,1618872298
337,Clyde River,70.4692,-68.5914,6.8,85,75,17.27,CA,1618872299
338,Logan Lake,50.4998,-120.8025,64.4,13,1,5.75,CA,1618872299
339,Behshahr,36.6923,53.5526,64.6,60,42,2.15,IR,1618872299
340,Surgut,61.25,73.4167,14.0,73,0,8.95,RU,1618872300
341,Port-Gentil,-0.7193,8.7815,77.0,94,20,2.3,GA,1618872300
342,Uyuni,-20.4597,-66.825,51.78,14,0,8.05,BO,1618872300
343,Port Moresby,-9.4431,147.1797,78.8,89,40,5.75,PG,1618872301
344,Katangli,51.7102,143.2326,32.58,93,98,13.4,RU,1618872301
345,Rawson,-43.3002,-65.1023,75.65,44,7,15.52,AR,1618872301
346,Sovetskaya Gavan',48.9723,140.2878,37.18,87,98,2.62,RU,1618872302
347,Ol'ga,43.7444,135.2892,44.17,31,1,14.81,RU,1618872302
348,Sola,-13.8833,167.55,83.07,75,59,11.68,VU,1618872303
349,Bairnsdale,-37.8333,147.6167,62.01,49,62,7.0,AU,1618872304
350,Irecê,-11.3042,-41.8558,70.21,86,99,2.3,BR,1618872304
351,Santa Rosa,14.3122,121.1114,81.0,74,75,5.75,PH,1618872304
352,Iranshahr,27.2025,60.6848,74.12,30,21,2.19,IR,1618872305
353,Lagos,6.5833,3.75,80.6,89,20,2.3,NG,1618872122
354,Bozoum,6.3193,16.3799,70.97,84,96,6.17,CF,1618872305
355,Batticaloa,7.7102,81.6924,80.65,75,84,0.69,LK,1618872306
356,Christchurch,-43.5333,172.6333,64.0,48,96,2.3,NZ,1618872181
357,Abu Samrah,35.3029,37.1841,78.73,27,99,8.5,SY,1618872306
358,Auki,-8.7676,160.7034,85.26,68,57,3.42,SB,1618872306
359,Constitución,-35.3333,-72.4167,56.57,96,45,8.12,CL,1618872307
360,Luziânia,-16.2525,-47.9503,68.0,94,75,2.3,BR,1618872307
361,Big Spring,32.2504,-101.4787,73.0,24,75,3.44,US,1618872175
362,Marathon,44.9,-89.7668,39.0,65,90,12.66,US,1618872307
363,Jardim,-21.4803,-56.1381,79.12,35,21,3.18,BR,1618872308
364,Lompoc,34.6391,-120.4579,59.0,72,1,14.97,US,1618872308
365,Vaasa,63.096,21.6158,36.0,86,0,1.14,FI,1618872308
366,Kichera,55.9375,110.0997,27.97,96,100,4.25,RU,1618872309
367,Qasigiannguit,68.8193,-51.1922,17.6,45,98,4.61,GL,1618872309
368,Volterra,43.4003,10.86,44.01,82,25,3.0,IT,1618872309
369,Vila Franca do Campo,37.7167,-25.4333,62.6,88,20,8.05,PT,1618872309
370,Tura,25.5198,90.2201,70.03,92,8,7.54,IN,1618872310
371,Apatin,45.6711,18.9847,46.4,93,75,4.61,RS,1618872310
372,Rundu,-17.9333,19.7667,59.36,47,0,6.4,NA,1618872310
373,Rocha,-34.4833,-54.3333,59.54,92,0,6.24,UY,1618872026
374,Lebyazh'ye,55.2689,66.4947,25.09,52,2,4.14,RU,1618872311
375,Farsala,39.2947,22.3847,53.6,54,40,11.5,GR,1618872311
376,Arrondissement de Dinan,48.4167,-2.25,50.0,81,0,3.44,FR,1618872311
377,Port Macquarie,-31.4333,152.9167,64.0,72,1,1.99,AU,1618872312
378,Oroquieta,8.4858,123.8044,80.24,71,100,2.19,PH,1618872312
379,Roald,62.5833,6.1333,42.01,81,61,5.75,NO,1618872312
380,Ambovombe,-25.1667,46.0833,67.17,78,0,11.21,MG,1618872313
381,Altoona,40.5187,-78.3947,62.6,23,75,10.36,US,1618872023
382,Laas,46.6166,10.7002,37.99,65,20,4.61,IT,1618872313
383,Karpathos,35.507,27.2132,59.0,72,41,23.02,GR,1618872313
384,Awjilah,29.1081,21.2869,64.33,37,54,18.66,LY,1618872314
385,Nurota,40.5614,65.6886,55.4,47,100,4.61,UZ,1618872314
386,Chu,43.5983,73.7614,60.01,48,100,5.01,KZ,1618872314
387,Hays,30.0502,-98.0336,77.0,22,75,5.75,US,1618872314
388,Beni Suef,29.0731,31.0979,79.32,32,85,15.14,EG,1618872315
389,Tigil',57.8,158.6667,38.34,64,100,25.14,RU,1618872315
390,Karla,59.3723,24.9275,42.8,52,0,8.05,EE,1618872316
391,Bubaque,11.2833,-15.8333,78.4,73,45,15.95,GW,1618872316
392,Timmins,48.4669,-81.3331,50.0,46,90,9.22,CA,1618872017
393,Huallanca,-9.8993,-76.9417,48.27,73,54,4.0,PE,1618872316
394,Ranot,7.7777,100.3213,79.21,82,99,9.82,TH,1618872317
395,Abnūb,27.2696,31.1511,84.2,37,0,6.8,EG,1618872317
396,Geraldton,-28.7667,114.6,53.6,87,3,6.91,AU,1618872317
397,Jinchang,38.4953,102.1739,48.85,34,69,4.36,CN,1618872317
398,Promyshlennyy,67.5833,63.9167,28.38,92,100,18.79,RU,1618872318
399,Nouadhibou,20.931,-17.0347,64.4,88,12,16.11,MR,1618872318
400,Ust-Maya,60.4167,134.5333,21.34,92,100,9.82,RU,1618872318
401,Vilhena,-12.7406,-60.1458,73.4,94,75,3.44,BR,1618872319
402,Kantilo,20.35,85.1833,80.6,94,40,8.05,IN,1618872319
403,Sørland,67.667,12.6934,43.12,80,100,18.12,NO,1618872319
404,Henties Bay,-22.116,14.2845,82.99,43,12,5.01,NA,1618872320
405,Dingle,10.9995,122.6711,78.37,82,100,4.83,PH,1618872320
406,Husavik,66.0449,-17.3389,33.8,75,20,9.22,IS,1618872320
407,Bataiporã,-22.2953,-53.2711,72.61,55,36,5.77,BR,1618872320
408,Ridgecrest,35.6225,-117.6709,88.0,7,20,12.3,US,1618872321
409,Yangi Marg`ilon,40.4272,71.7189,59.0,44,95,6.91,UZ,1618872321
410,Zhangye,38.9342,100.4517,48.24,38,41,3.11,CN,1618872321
411,Tateyama,34.9833,139.8667,62.01,55,0,3.44,JP,1618872322
412,Hanna,51.6334,-111.9018,41.0,47,100,17.0,CA,1618872302
413,Mēga,4.05,38.3,59.4,80,97,9.06,ET,1618872322
414,Aripuanã,-9.1667,-60.6333,72.88,97,90,2.55,BR,1618872213
415,Rabinal,15.1,-90.45,75.2,73,40,6.91,GT,1618872322
416,Say,13.1007,2.3689,96.8,20,0,5.75,NE,1618872323
417,Xining,36.6167,101.7667,37.54,74,85,2.35,CN,1618872323
418,Ghanzi,-21.5667,21.7833,60.21,30,0,3.56,BW,1618872323
419,Cap Malheureux,-19.9842,57.6142,75.99,86,18,4.0,MU,1618872324
420,Pitimbu,-7.4706,-34.8086,78.8,83,0,4.61,BR,1618872324
421,Kaeo,-35.1,173.7833,64.99,96,100,5.99,NZ,1618872324
422,Baghdad,33.3406,44.4009,75.2,33,0,8.05,IQ,1618872296
423,Safi,32.2994,-9.2372,62.11,81,0,16.22,MA,1618872325
424,Huilong,31.8111,121.655,57.0,76,19,14.58,CN,1618872325
425,Khovd,48.0056,91.6419,43.92,45,58,7.52,MN,1618872325
426,Green River,41.5286,-109.4662,21.0,86,90,28.77,US,1618872326
427,Novobirilyussy,56.9514,90.6661,9.61,91,100,9.24,RU,1618872326
428,Mumford,5.2618,-0.759,81.23,80,97,4.76,GH,1618872326
429,Cabedelo,-6.9811,-34.8339,78.8,83,0,4.61,BR,1618872327
430,Tocopilla,-22.092,-70.1979,67.53,63,11,2.62,CL,1618872327
431,Duma,34.7653,108.135,57.2,100,90,2.24,CN,1618872327
432,Muroto-misakicho,33.2833,134.15,53.6,66,0,9.22,JP,1618872328
433,Farafangana,-22.8167,47.8333,70.56,79,79,3.51,MG,1618872328
434,Ternate,0.8,127.4,81.48,78,100,1.03,ID,1618872328
435,Mareeba,-17.0,145.4333,73.99,97,87,3.0,AU,1618872328
436,Los Llanos de Aridane,28.6585,-17.9182,66.2,72,0,12.66,ES,1618872329
437,Hambantota,6.1241,81.1185,77.0,100,20,3.44,LK,1618872329
438,Aransas Pass,27.9095,-97.15,69.8,56,1,8.05,US,1618872329
439,Paamiut,61.994,-49.6678,30.99,88,100,7.07,GL,1618872330
440,Sayyan,15.1718,44.3244,58.86,29,97,13.09,YE,1618872330
441,Boa Vista,2.8197,-60.6733,84.2,58,40,8.05,BR,1618872330
442,Miandrivazo,-19.5167,45.4667,73.8,87,95,0.56,MG,1618872331
443,NEDJO,9.5046,35.5019,63.9,46,81,1.3,ET,1618872331
444,Zalegoshch',52.9008,36.8869,43.7,92,97,8.88,RU,1618872331
445,Egvekinot,66.3167,-179.1667,27.93,68,0,1.86,RU,1618872332
446,Kamaishi,39.2667,141.8833,55.94,59,2,10.42,JP,1618872332
447,Listvyagi,53.6772,86.951,19.24,83,100,3.87,RU,1618872332
448,Aklavik,68.2191,-135.0107,46.4,42,78,3.44,CA,1618872332
449,Jieshi,22.8134,115.8257,68.95,69,90,16.53,CN,1618872333
450,Sainte-Luce,14.4673,-60.9271,80.6,69,40,10.36,MQ,1618872333
451,Chardara,41.2547,67.9692,66.81,37,100,5.08,KZ,1618872075
452,Kununurra,-15.7667,128.7333,64.4,88,13,3.44,AU,1618872112
453,Mikhaylovka,50.06,43.2379,50.0,85,100,1.01,RU,1618872334
454,Ponto Novo,-10.8628,-40.1336,70.59,93,80,3.89,BR,1618872334
455,Hong Kong,22.2855,114.1577,71.01,79,92,1.01,HK,1618872281
456,São João da Barra,-21.6403,-41.0511,72.1,89,53,10.0,BR,1618872334
457,Luan,46.3592,6.9759,48.2,49,0,2.3,CH,1618872335
458,Marsh Harbour,26.5412,-77.0636,80.02,71,70,16.28,BS,1618872335
459,Kloulklubed,7.0419,134.2556,77.0,94,75,3.44,PW,1618872335
460,Turukhansk,65.8167,87.9833,-6.12,97,13,6.55,RU,1618872335
461,Sawtell,-30.3833,153.1,66.2,68,1,2.42,AU,1618872336
462,Panguna,-6.3164,155.4848,81.93,60,79,0.63,PG,1618872336
463,Ust-Nera,64.5667,143.2,26.4,93,100,4.99,RU,1618872336
464,Nuevo Progreso,23.1667,-97.95,73.99,56,57,11.99,MX,1618872337
465,Ukiah,39.1502,-123.2078,80.6,21,1,6.91,US,1618872337
466,Dauriya,49.9333,116.8667,40.1,21,34,15.46,RU,1618872337
467,Abu Dhabi,24.4667,54.3667,75.2,78,0,5.75,AE,1618872303
468,Ambilobe,-13.2,49.05,70.66,85,96,3.42,MG,1618872338
469,Buraidah,26.326,43.975,73.4,35,0,4.61,SA,1618872338
470,Zilair,52.2332,57.4392,25.84,49,100,13.76,RU,1618872338
471,Eyl,7.9803,49.8164,81.21,78,51,7.34,SO,1618872338
472,Chumikan,54.7183,135.315,30.49,64,100,18.86,RU,1618872339
473,Lumut,4.2323,100.6298,77.0,88,20,5.1,MY,1618872339
474,Najrān,17.4924,44.1277,73.4,25,40,2.57,SA,1618872339
475,Sardārshahr,28.4333,74.4833,83.28,22,80,9.26,IN,1618872340
476,Santa Inês,-3.6667,-45.38,71.13,98,100,3.87,BR,1618872340
477,Barra Patuca,15.8,-84.2833,81.79,76,100,13.78,HN,1618872340
478,Kalemie,-5.9475,29.1947,71.74,83,100,4.61,CD,1618872341
479,Dubbo,-32.25,148.6167,48.2,76,74,6.91,AU,1618872341
480,Morant Bay,17.8815,-76.4093,84.2,70,20,24.16,JM,1618872284
481,Touros,-5.1989,-35.4608,80.6,78,0,6.91,BR,1618872341
482,Vesele,47.0148,34.915,49.73,77,100,2.35,UA,1618872342
483,Hofn,64.2539,-15.2082,37.72,62,11,12.59,IS,1618872342
484,Laguna,38.421,-121.4238,84.99,24,1,8.05,US,1618872342
485,Turbat,26.0023,63.044,75.16,28,37,3.8,PK,1618872343
486,Brae,60.3964,-1.353,46.4,81,100,13.8,GB,1618872343
487,Road Town,18.4167,-64.6167,80.6,78,20,9.22,VG,1618872343
488,Saint-Pierre,-21.3393,55.4781,75.2,94,90,4.61,RE,1618872344
489,Lodja,-3.4833,23.4333,70.27,99,100,1.36,CD,1618872344
490,Hisor,38.525,68.5512,57.2,51,100,4.47,TJ,1618872344
491,Barcelos,41.5388,-8.6151,57.2,94,40,1.97,PT,1618872345
492,Buenaventura,3.8801,-77.0312,78.21,88,84,3.51,CO,1618872345
493,Envira,-7.3,-70.2167,74.41,93,86,2.53,BR,1618872345
494,Kalmunai,7.4167,81.8167,78.31,83,93,1.83,LK,1618872346
495,Richards Bay,-28.783,32.0377,72.84,78,41,19.95,ZA,1618872180
496,Châteaudun,48.0833,1.3333,42.8,81,0,3.44,FR,1618872346
497,el Prat de Llobregat,41.3278,2.0947,57.0,88,20,6.91,ES,1618872346
498,Coruripe,-10.1256,-36.1756,78.06,83,42,9.51,BR,1618872157
499,Mountain Home,43.133,-115.6912,64.4,15,1,27.63,US,1618872347
500,Amahai,-3.3333,128.9167,82.0,96,100,1.7,ID,1618872347
501,Swan River,52.1058,-101.2676,28.4,93,100,12.66,CA,1618872136
502,Rincon,32.296,-81.2354,78.8,25,1,11.5,US,1618872348
503,Napa,38.4832,-122.3344,87.01,27,48,4.0,US,1618872348
504,Vozhega,60.4725,40.2213,29.64,83,4,4.54,RU,1618872348
505,Oparino,59.8518,48.2783,28.45,75,0,3.33,RU,1618872348
506,Sokoni,-6.4333,39.55,75.09,93,100,16.13,TZ,1618872349
507,Nanzhang,31.7765,111.8386,60.04,95,99,2.55,CN,1618872349
508,Kassala,15.451,36.4,85.95,41,19,9.6,SD,1618872349
509,Goba,7.0167,39.9833,49.44,86,90,1.92,ET,1618872350
510,Vanavara,60.34,102.2797,24.42,93,100,9.37,RU,1618872350
511,Uyemskiy,64.4743,40.8524,30.2,64,0,6.71,RU,1618872350
512,Haines Junction,60.7522,-137.5108,53.6,24,11,5.75,CA,1618872350
513,Quryq,43.2,51.65,62.08,52,100,5.1,KZ,1618872351
514,Ozinki,51.1786,49.6769,39.16,78,100,20.76,RU,1618872351
515,Zhigalovo,54.8097,105.1578,22.89,77,100,8.01,RU,1618872351
516,Arauca,7.0847,-70.7591,83.88,49,97,0.67,CO,1618872352
517,Omsukchan,62.5333,155.8,31.08,89,100,7.0,RU,1618872352
518,Jarocin,51.9727,17.5026,48.99,90,86,2.68,PL,1618872352
519,Lima,-12.0432,-77.0282,71.6,73,0,12.66,PE,1618872305
520,Cotonou,6.3654,2.4183,84.2,79,20,8.05,BJ,1618872353
521,Conde,-7.2597,-34.9075,78.8,83,0,4.61,BR,1618872353
522,Areia Branca,-4.9561,-37.1369,80.46,74,39,11.03,BR,1618872353
523,Nhulunbuy,-12.2333,136.7667,78.8,89,90,9.37,AU,1618872354
524,Nazarovo,56.0064,90.3914,10.87,86,10,10.8,RU,1618872354
525,Imbituva,-25.23,-50.6044,58.1,86,91,2.08,BR,1618872350
526,Acapulco de Juárez,16.8634,-99.8901,82.4,65,1,9.22,MX,1618872354
527,Kisangani,0.5167,25.2,70.66,97,100,1.32,CD,1618872355
528,Ségou,13.4317,-6.2157,92.05,14,11,6.89,ML,1618872355
529,Lázaro Cárdenas,17.9583,-102.2,81.57,49,29,10.87,MX,1618872355
530,Pouembout,-21.1333,164.9,79.75,80,59,7.11,NC,1618872356
531,Kampot,10.6167,104.1833,78.8,94,40,1.14,KH,1618872356
532,Ariano Irpino,41.1489,15.0833,42.01,87,0,8.05,IT,1618872356
533,Mehamn,71.0357,27.8492,36.5,73,16,9.89,NO,1618872357
534,Villacarrillo,38.1156,-3.0848,54.99,51,100,3.04,ES,1618872357
535,Margate,51.3813,1.3862,43.0,84,6,3.83,GB,1618872311
536,Vila,42.0304,-8.1588,51.01,65,78,5.99,PT,1618872357
537,Seymchan,62.8833,152.4333,32.74,97,100,3.29,RU,1618872358
538,Yumen,40.2833,97.2,50.23,34,100,4.83,CN,1618872358
539,Sheltozero,61.3667,35.3667,31.42,86,99,5.28,RU,1618872358
540,Sirajganj,24.45,89.7167,79.27,86,0,13.62,BD,1618872359
541,Esil,51.9556,66.4042,26.4,43,19,12.21,KZ,1618872359
542,Heihe,50.2441,127.4902,33.8,21,0,20.13,CN,1618872359
543,Oistins,13.0667,-59.5333,80.6,57,20,19.57,BB,1618872360
544,Ancud,-41.8697,-73.8203,53.01,93,0,1.86,CL,1618872360
545,Vallenar,-28.5708,-70.7581,66.58,56,0,4.54,CL,1618872360
546,Ryōtsu-minato,38.0833,138.4333,51.8,62,0,10.36,JP,1618872361
547,Graaff-Reinet,-32.2522,24.5308,55.0,93,99,1.01,ZA,1618872066
548,Port Augusta,-32.5,137.7667,55.99,66,75,8.05,AU,1618872361
549,Naantali,60.4674,22.0243,41.0,86,0,2.3,FI,1618872362
550,Tautira,-17.7333,-149.15,84.2,70,75,5.75,PF,1618872362
551,Iwanai,42.9744,140.5089,52.99,63,21,8.39,JP,1618872362
552,Mantenópolis,-18.8625,-41.1228,69.73,89,44,4.54,BR,1618872363
553,Igarka,67.4667,86.5833,-12.91,99,66,6.93,RU,1618872363
554,Kungurtug,50.5994,97.5228,32.59,78,55,2.06,RU,1618872363
555,Jumla,29.2747,82.1838,43.9,48,0,4.92,NP,1618872364
556,Bahía Solano,6.2262,-77.4044,79.77,83,93,2.57,CO,1618872364
557,Watertown,42.3709,-71.1828,64.0,36,75,4.61,US,1618872105
558,Kibre Mengist,5.8833,38.9833,58.15,97,99,1.74,ET,1618872364
559,Moses Lake,47.1301,-119.2781,64.4,12,1,8.05,US,1618872188
560,Sioux Falls,43.55,-96.7003,41.0,33,75,16.11,US,1618872232
561,Bonthe,7.5264,-12.505,81.0,81,55,6.44,SL,1618872365
562,Togur,58.3631,82.8265,8.65,92,100,11.86,RU,1618872365
563,Usevya,-7.1,31.2333,64.2,94,100,4.72,TZ,1618872366
564,Goderich,43.7501,-81.7165,44.6,87,100,16.11,CA,1618872366
565,Watsa,3.0372,29.5355,65.01,87,99,3.67,CD,1618872366
566,Coyhaique,-45.5752,-72.0662,48.2,71,75,4.61,CL,1618872367
567,Winnemucca,40.973,-117.7357,71.6,12,1,14.97,US,1618872367
568,Raudeberg,61.9875,5.1352,50.0,62,75,16.11,NO,1618872367
